ImagePath,Label,Mode
data/Archive/BadData1/238.png,0.0,train
data/Archive/BadData1/508.png,0.0,train
data/Archive/BadData1/517.png,0.0,train
data/Archive/BadData1/697.png,0.0,train
data/Archive/BadData1/414.png,0.0,train
data/Archive/BadData1/149.png,0.0,train
data/Archive/BadData1/494.png,0.0,train
data/Archive/BadData1/134.png,0.0,val
data/Archive/BadData1/63.png,0.0,val
data/Archive/BadData1/835.png,0.0,train
data/Archive/BadData1/574.png,0.0,train
data/Archive/BadData1/57.png,0.0,train
data/Archive/BadData1/527.png,0.0,train
data/Archive/BadData1/671.png,0.0,train
data/Archive/BadData1/663.png,0.0,train
data/Archive/BadData1/371.png,0.0,train
data/Archive/BadData1/659.png,0.0,train
data/Archive/BadData1/675.png,0.0,val
data/Archive/BadData1/979.png,0.0,train
data/Archive/BadData1/172.png,0.0,train
data/Archive/BadData1/846.png,0.0,train
data/Archive/BadData1/730.png,0.0,train
data/Archive/BadData1/746.png,0.0,train
data/Archive/BadData1/668.png,0.0,val
data/Archive/BadData1/795.png,0.0,train
data/Archive/BadData1/544.png,0.0,val
data/Archive/BadData1/110.png,0.0,train
data/Archive/BadData1/580.png,0.0,train
data/Archive/BadData1/736.png,0.0,train
data/Archive/BadData1/202.png,0.0,train
data/Archive/BadData1/679.png,0.0,train
data/Archive/BadData1/922.png,0.0,val
data/Archive/BadData1/608.png,0.0,train
data/Archive/BadData1/930.png,0.0,val
data/Archive/BadData1/960.png,0.0,train
data/Archive/BadData1/916.png,0.0,train
data/Archive/BadData1/130.png,0.0,val
data/Archive/BadData1/96.png,0.0,train
data/Archive/BadData1/984.png,0.0,train
data/Archive/BadData1/151.png,0.0,train
data/Archive/BadData1/610.png,0.0,train
data/Archive/BadData1/325.png,0.0,train
data/Archive/BadData1/793.png,0.0,train
data/Archive/BadData1/819.png,0.0,train
data/Archive/BadData1/483.png,0.0,train
data/Archive/BadData1/71.png,0.0,train
data/Archive/BadData1/495.png,0.0,val
data/Archive/BadData1/943.png,0.0,train
data/Archive/BadData1/831.png,0.0,train
data/Archive/BadData1/391.png,0.0,val
data/Archive/BadData1/925.png,0.0,train
data/Archive/BadData1/518.png,0.0,train
data/Archive/BadData1/694.png,0.0,train
data/Archive/BadData1/82.png,0.0,train
data/Archive/BadData1/351.png,0.0,train
data/Archive/BadData1/197.png,0.0,train
data/Archive/BadData1/641.png,0.0,train
data/Archive/BadData1/714.png,0.0,train
data/Archive/BadData1/737.png,0.0,val
data/Archive/BadData1/841.png,0.0,train
data/Archive/BadData1/295.png,0.0,val
data/Archive/BadData1/35.png,0.0,train
data/Archive/BadData1/160.png,0.0,train
data/Archive/BadData1/542.png,0.0,train
data/Archive/BadData1/211.png,0.0,train
data/Archive/BadData1/77.png,0.0,val
data/Archive/BadData1/373.png,0.0,train
data/Archive/BadData1/523.png,0.0,train
data/Archive/BadData1/607.png,0.0,train
data/Archive/BadData1/243.png,0.0,train
data/Archive/BadData1/401.png,0.0,train
data/Archive/BadData1/717.png,0.0,train
data/Archive/BadData1/108.png,0.0,val
data/Archive/BadData1/722.png,0.0,train
data/Archive/BadData1/341.png,0.0,val
data/Archive/BadData1/377.png,0.0,train
data/Archive/BadData1/422.png,0.0,train
data/Archive/BadData1/700.png,0.0,val
data/Archive/BadData1/1.png,0.0,train
data/Archive/BadData1/475.png,0.0,train
data/Archive/BadData1/657.png,0.0,train
data/Archive/BadData1/999.png,0.0,train
data/Archive/BadData1/868.png,0.0,val
data/Archive/BadData1/718.png,0.0,val
data/Archive/BadData1/862.png,0.0,train
data/Archive/BadData1/590.png,0.0,train
data/Archive/BadData1/332.png,0.0,train
data/Archive/BadData1/268.png,0.0,val
data/Archive/BadData1/423.png,0.0,train
data/Archive/BadData1/444.png,0.0,val
data/Archive/BadData1/585.png,0.0,train
data/Archive/BadData1/326.png,0.0,train
data/Archive/BadData1/412.png,0.0,val
data/Archive/BadData1/7.png,0.0,train
data/Archive/BadData1/638.png,0.0,train
data/Archive/BadData1/365.png,0.0,train
data/Archive/BadData1/624.png,0.0,train
data/Archive/BadData1/501.png,0.0,train
data/Archive/BadData1/750.png,0.0,train
data/Archive/BadData1/38.png,0.0,train
data/Archive/BadData1/778.png,0.0,train
data/Archive/BadData1/528.png,0.0,train
data/Archive/BadData1/907.png,0.0,train
data/Archive/BadData1/189.png,0.0,val
data/Archive/BadData1/245.png,0.0,train
data/Archive/BadData1/485.png,0.0,val
data/Archive/BadData1/860.png,0.0,train
data/Archive/BadData1/249.png,0.0,val
data/Archive/BadData1/415.png,0.0,val
data/Archive/BadData1/16.png,0.0,train
data/Archive/BadData1/349.png,0.0,train
data/Archive/BadData1/443.png,0.0,val
